,Data,User,Pesan,Jam,Tanggal
0,1,RITEL MENANGIS,"Membalas : Klo belum sempat belajar tapi udah ngebet trade jalan keluar sementara never spent the risk more than 10% of capital
Yes sepakat pak. Soal itu saya sudah alokasi mana dana buat belajar, invest, entertain, dsb. Terimakasih masukannya pak. Saya istirahat cabut duluan, mau tarik2 chart lagi buat pantauan pekan depan heheh
",2:07:57 AM,Sunday March 28 2021
1,2,panjianom,"Membalas :  If you make one trade and it starts to go against you, you are wrong. Then why buy or sell more to average a loss? When thin
Keren mbah Gann emang  ",2:00:22 AM,Sunday March 28 2021
2,3,RITEL MENANGIS,"Membalas : Saya bukan Suhu ya Pak. Masih belajar juga, sedikit di atas niubi lah. Mungkin pake contoh aja ya yang gampang, ANTM. Sampai
Ah i see, follow the giant aja ya. Sebisa mungkin kombinasikan TA, FA ataupun bandarmology buat bikin trade plan biar nggak kejebak dalam  keramaian  palsu itu ya pak   terimakasih banyak pak Jimmy soal mindset tradingnya. Sukses selalu   ",1:53:53 AM,Sunday March 28 2021
3,4,panjianom,"Membalas : Wah keren 4thn fokus learning ya pak. Kalau saya beda tipe pak., first time saya trx, saya gak ngerti apa itu bid, offer, bandar
Klo belum sempat belajar tapi udah ngebet trade jalan keluar sementara never spent the risk more than 10% of capital",1:46:42 AM,Sunday March 28 2021
4,5,RITEL MENANGIS,"Wah keren 4thn fokus learning ya pak. Kalau saya beda tipe pak., first time saya trx, saya gak ngerti apa itu bid, offer, bandar, TA, FA, dsb. Soalnya kalau belajar teori tanpa praktik itu bikin saya pusing. hehe. Cuma emang awalnya 1lot, naik 10, naik 100. Karena mnurut saya, sebelum ketawa itu harus tau gimana rasanya nangis. Jadi awal saya coba masuk pasar modal ini emang itungannya udah siapin dana buat rugi dulu, bukan fokus cepet kaya  ",1:43:23 AM,Sunday March 28 2021
5,6,Jimmy,"Membalas : Siap pak Jimmy. Saya mulai usaha real dari 0. Jadi saya siap kalaupun harus balik ke 0. Tapi yg saya yakini itu kalau kita slalu
Siap, sukses selalu Om...  
Membalas : coba berkhayal jd big fun atau jd pengendali emiten kira apa yg akan di lakukan terhadap hrg saham pd sikon tertentu misal tadi
Yah tergantung misi/tujuan big fund tadi Pak. Kalo yang beneran big fund ya secara modal mereka besar sekali, keramaian retail mah ga ngaruh rasanya. Mereka sangat sabar, sangat sangat sabar...    ",1:31:21 AM,Sunday March 28 2021
6,7,RBTAN59,"Membalas : Iya betul pak. Nah itu tadi pak Jimmy bilang kalau salah satu kunci trading itu  hindari keramaian . Tapi kenapa ada jg yg bilan
coba berkhayal jd big fun atau jd pengendali emiten kira apa yg akan di lakukan terhadap hrg saham pd sikon tertentu misal tadi kata om Jimmy sdg ada keramaian / kerumunan spt pernah terjadi pd antm  ",1:30:26 AM,Sunday March 28 2021
7,8,Jimmy,"Membalas : Iya betul pak. Nah itu tadi pak Jimmy bilang kalau salah satu kunci trading itu  hindari keramaian . Tapi kenapa ada jg yg bilan
Saya bukan Suhu ya Pak. Masih belajar juga, sedikit di atas niubi lah.

Mungkin pake contoh aja ya yang gampang, ANTM. 

Sampai Kamis minggu lalu. Pasar masih pesimis dengan ANTM. Ada yang bilang harga bandar di 1700. Ada yang bilang mau ke 1000, dsb. Keramaian jelas berada di sisi pesimis.

Nah Jumat lalu, secara chart terlihat kalo tutupan Kamis bisa jadi titik reversal. 

Dan kalo yang mengamati aliran akumulasi, terlihat big player konsisten masuk bertahap di 4-5 hari terakhir.

Dan kita tahu akhir bulan ada rencana pengumuman IBH, tapi kita ga tau akhir bulannya kapan, bisa tanggal 25, 26, dsb sampai tgl 30.

Disini terlihat, ""keramaian"" berada di sisi ""pesimis"", sementara market sudah menunjukkan ada ""pembalikan arah"".

Jadi kita mau tes ikut ""market"" atau ikut ""keramaian""?  

Semoga bisa dipahami ya. Memang tipis bedanya, tapi ya itulah kurang lebih benang merahnya. Mirip kaya liat divergen trend. Kadang selip mata  ",1:30:08 AM,Sunday March 28 2021
8,9,RITEL MENANGIS,"Membalas : Sabar aja Om. Yang jelas stock market itu keras (dan kejam). Lupakan kalo mau cepet kaya disini. Lebih besar kemungkinan cuan ma
Siap pak Jimmy. Saya mulai usaha real dari 0. Jadi saya siap kalaupun harus balik ke 0. Tapi yg saya yakini itu kalau kita slalu upgrade personal kita ya kemungkinan besar kita nggak akan balik ke 0. Pun kalau balik ke 0, kita sudah tau gimana cara untuk dapetin lg angka 9 yg kita capai sebelumnya. hehe. Nah saya di pasar modal ini ilmunya ibarat lot kecil forex cuma 0,01 makanya mau belajar trs walaupun berdarah2. Semoga bisa sama2 menguatkan ya pak   
",1:27:42 AM,Sunday March 28 2021
9,10,RITEL MENANGIS,"Membalas : Ini persoalan klasik Pak. Sebenarnya permasalahannya adalah angkatan baru cenderung masuk karena gosip/info/ikut2an. Nah bisa ja
Iya betul pak. Nah itu tadi pak Jimmy bilang kalau salah satu kunci trading itu  hindari keramaian . Tapi kenapa ada jg yg bilang  market jangan dilawan  kalau lagi dikerek naik ya kita ikut masuk, kalau lagi dist ya ikut jual. It means itu artinya kita ikut dlm keramaian kan pak.
Artinya kedua dua premis itu kontradiktif dong pak? Kita harus ikutin yg mana ya pak?
Saya pengin ngerti  logika dasar  pasar modal ini pak biar tdk terjebak dlm permainan big fund hehe mohon bimbimgannya ya pak senior dan suhu lainnya jg",1:20:40 AM,Sunday March 28 2021
10,11,Jimmy,Gann terlalu kompleks ya. Baca bukunya beberapa kok mumet. Otak saya ga sampe kayanya  ,1:15:06 AM,Sunday March 28 2021
11,12,Jimmy,"Membalas : salut om Jimmy bermental baja pejuang sejati   
Nekat aja Om. Tapi ya intinya terus belajar dan membuka diri lah. Banyak Suhu-suhu termasuk beberapa disini yang suka saya tonton youtube-nya. Banyak lah belajar saya    
Ga ada arti khusus Om. Mau ganti jadi 666, 777, 888 juga boleh boleh saja sih  ",1:10:23 AM,Sunday March 28 2021
12,13,RBTAN59,"Membalas : Sabar aja Om. Yang jelas stock market itu keras (dan kejam). Lupakan kalo mau cepet kaya disini. Lebih besar kemungkinan cuan ma
salut om Jimmy  bermental baja pejuang sejati   ",1:07:41 AM,Sunday March 28 2021
13,14,Jimmy,"Buat nyoba saja dan prinsip saya tetap di bawah 1% total transaksi emiten di hari itu. Jadi impact ke total market sebenarnya minim. Dan benernya gaya saya lebih ke swing, bukan scalper. Cuman kadang suka latihan emosi aja kalo pas lagi super rame marketnya (dulu ELTY pas keluar dari gocap sampai 100jt lot sehari, ya macam gitulah -  masih butiran debu lah di kolam market segede itu). It happens once in a while...",1:07:31 AM,Sunday March 28 2021
14,15,F. Setiawan,"Membalas : Sabar aja Om. Yang jelas stock market itu keras (dan kejam). Lupakan kalo mau cepet kaya disini. Lebih besar kemungkinan cuan ma
Petuah yang bagus  ",1:04:52 AM,Sunday March 28 2021
15,16,Jimmy,"Membalas : Maap pak mau nanya basic bgt ni. huhu. Itu pak Jimmy bilang kl trx dibawah 1% total harian msih aman, ngga bkl dibanting kan. Ta
Ini persoalan klasik Pak. Sebenarnya permasalahannya adalah angkatan baru cenderung masuk karena gosip/info/ikut2an. Nah bisa jadi yang masuk memang receh, tapi barengan (banyak) entah karena pompom atau alasan lain. Nah efeknya jadi massive ke market. Enak deh jadi bahan guyuran big player. 

Saya juga coba belajar banyak dari dulu (masih inget dulu download data manual dari web BEJ, convert manual ke Metastock), ikut seminar, ikut SP (kayanya ga keitung SP gede saya pernah coba satu-satu), teknikal, fundamental, sampe saya langganan datafeed dan belajar Amibroker buat bikin AFL yang sesuai kriteria saya. Terakhir penasaran ilmu planet dan WD Gann, cuman belum kesempetan diseriusin. 

Tujuannya pengen dapat holy grail. Pada akhirnya saya sadar, walaupun entah ini bener atau tidak, kadang kuncinya sederhana: sabar, jangan serakah, dan hindari keramaian. Itu saja he he he...     Sama minimal bisa baca trend chart. Kalo lagi downtrend ya mending lupakan aja dulu...

Dan satu pelajaran paling berharga adalah ""pengalaman adalah guru terbaik"". Baca buku sampai khatam, kalo ga pernah praktek, maka emosi susah dikontrol.

Ini sharing pengalaman pribadi saya ya. Bukan bermaksud menggurui...   Salam hormat ke Suhu Suhu disini...
Enggak. Max order adalah 50.000 lot. Jadi kalo saham harga murah ya masuk eMberan mesti berkali-kali. Kalo BBCA atau GGRM, masuk 50.000 lot bisa bikin naik belasan tick bahkan puluhan  . Kalo di sistem sekuritas kayanya bisa diantriin multiple x50.000 lot atau kadang dibikin kereta api 1lot x banyak. Ada tujuannya masing-masing juga...
Membalas : Iya pak saya suda menangis makanya mau belajar nanya2 biar tdk menangis lagi dan jadi pinter cuan
Sabar aja Om. Yang jelas stock market itu keras (dan kejam). Lupakan kalo mau cepet kaya disini. Lebih besar kemungkinan cuan main dadu di kasino beneran kayanya  . Sabar dan terus belajar aja. Jangan serakah dan emosi. Itu aja cukup lah menurut saya mah. Kalo tahun depan Om masih semangat trading, besar kemungkinan bisa lanjut dan ada peluang sukses. Kalo dalam beberapa bulan rasanya mau trading kok panas dingin, ya mending lupakan deh. Kasihan mental-nya.

Saya sendiri pernah kehilangan 90-95% capital sampai hampir 10 tahun sebelum bisa saya balikan jadi positif. Dan sampai saat ini masih punya saham gocap dengan valuasi total lumayan. Tapi ya sudahlah jadikan itu pelajaran berharga    
Setahu saya tidak ada. At least saya sendiri pernah jual beli lebih dari itu dalam sehari (bahkan hitungan jam), ga pernah ketemu masalah sih.",12:50:42 AM,Sunday March 28 2021
16,17,RITEL MENANGIS,"Membalas : nama adalah do'a
Iya pak saya suda menangis makanya mau belajar nanya2 biar tdk menangis lagi dan jadi pinter cuan  ",12:42:34 AM,Sunday March 28 2021
17,18,Rolando,"Membalas : Maap pak mau nanya basic bgt ni. huhu. Itu pak Jimmy bilang kl trx dibawah 1% total harian msih aman, ngga bkl dibanting kan. Ta
nama adalah do'a",12:40:12 AM,Sunday March 28 2021
